FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
1659007,255378,6132,670,1168,4451,2049320,273267,3993,559,599,1816,83,346
1937413,225715,5269,999,0,161660,2725759,277812,4333,565,143,83767,69,347
1984533,521893,5402,1282,1086,1279,2703114,715628,4534,971,683,943,79,347
1911300,204017,1947,536,651,5179,2473500,248802,1354,331,528,3032,79,348
1838129,225266,2479,169,1014,962,2257429,205286,1309,165,514,563,66,348
3278065,571650,6559,960,521,9243,3319574,498428,2952,410,492,2884,86,348
8064788,946381,22555,2602,1036,298585,5604032,510120,6659,838,737,72519,141,348
4220123,1254671,21076,1652,0,699809,2646589,996893,9582,842,1106,294424,114,350
2090970,431587,7835,1366,0,533007,2362613,515596,5003,819,531,247785,72,350
3255507,342168,7980,845,983,208260,2626408,270073,3502,416,1244,99811,106,350
3559588,425212,14684,1540,1328,129091,3053654,379262,7916,817,892,55386,101,351
3690946,610321,43011,3522,0,1098805,2616436,527806,27472,2115,976,468375,109,351
1596099,294040,3810,903,1076,563,1856424,341124,2300,412,760,736,71,353
1759804,764812,7128,676,146,53302,3396263,1099819,5340,847,710,63200,46,355
4885624,1204932,20667,2702,0,1566809,3387272,941149,9648,1351,796,635161,102,355
7317815,969244,12382,1675,1712,154827,4145857,613741,4312,560,1321,61757,129,355
4653191,1200703,18522,2448,73,459381,3237933,831040,8748,1043,1028,192127,106,355
2136657,345881,2081,606,979,4612,2967738,478759,1543,443,1096,2843,58,355
2637249,315504,1451,339,1077,1177,3592604,435109,1391,260,836,1038,66,355
10153851,2109406,34515,4764,0,798486,5467863,1173982,11915,1422,1069,265704,155,355
10832438,2283148,48085,5132,0,929091,7262442,1267870,13907,1394,1154,254165,157,355
3987383,810154,15213,1270,1522,53510,2361870,466724,4927,514,961,22193,134,355
2957968,620136,13088,1457,511,37518,1988318,469871,4692,572,303,13698,111,355
1994880,556078,6384,1495,2326,110177,2155556,595765,3818,1114,1975,59985,81,356
2749747,327332,6198,853,981,154215,2854744,316299,3600,438,899,93394,78,356
2219256,134094,6587,551,1493,64015,2960812,180459,5115,552,1158,31668,72,358
3009757,427400,10759,1312,0,315900,2002981,294517,4477,500,564,147434,137,358
1822834,259701,4381,747,1065,1581,2055304,295780,2156,361,694,832,80,359
4123063,839673,20141,2244,510,233050,3102364,777654,8428,882,1077,77803,112,359
5885075,1364340,29131,3184,1177,193894,4116925,1052017,10864,1133,1289,57344,143,359
3000519,427780,3145,604,449,2966,3417222,524567,1837,349,275,1296,92,359
3296069,480710,10306,1246,1556,331114,3519096,530103,6107,750,1126,146409,82,359
2574093,607238,6885,1115,533,10571,2582242,594593,3364,528,613,4194,88,360
2230995,315182,2967,578,1302,5999,2759037,345548,937,382,400,2744,105,360
1882351,168143,62347,4354,461,119294,3276226,217971,52497,3507,750,67863,64,360
2278874,203412,2778,716,1049,694,2725452,277774,1918,490,639,963,75,362
1687123,368392,1716,967,320,4189,2158572,463036,1205,411,291,2109,75,363
13507651,3278438,63196,7093,0,3945388,6505313,1835614,17195,1960,0,1035029,161,363
9971967,1743734,43311,5219,0,2838244,8270955,1515897,22157,2252,2217,1096236,134,363
3437446,1166296,18481,2518,0,1229426,3301271,1043686,8899,1262,0,591675,91,363
14467601,2933909,92296,7868,3017,352444,5887886,1185354,34663,2703,1559,104810,200,363
2713491,427701,3278,1204,904,10627,2163524,463760,2199,488,731,4901,88,366
1933709,515424,5116,686,754,23258,2542250,694843,3783,495,864,12802,70,366
3941232,750457,18836,1552,69,272169,3986245,705251,10413,906,817,119743,96,366
2447032,257520,7089,683,0,159541,3055094,326980,5101,442,696,77970,66,366
5076124,948128,7907,761,924,17050,3837917,998908,4737,726,889,5996,99,366
1705559,245097,2970,612,721,2546,2447848,308038,1945,334,221,1578,69,367
3154165,854572,9545,1006,702,12023,2225175,882217,3708,387,863,4111,97,367
10118542,2065924,39924,4193,836,444484,4489144,1055115,12494,1418,1000,146881,162,367
13470557,2833712,58132,6264,0,1745539,8692296,1849815,18432,1985,1510,474138,142,367
6840622,903573,20292,2244,1677,187359,4970356,710499,10296,1169,1728,72518,128,367
2074413,353119,2342,390,637,1692,2692981,450663,1428,277,352,732,69,367
2271798,338345,2608,487,224,1913,2218394,364335,1745,290,689,670,104,367
8704108,1668846,31980,3998,0,546133,4332540,843693,8871,1142,1362,145615,208,370
3186321,517956,7369,1191,849,16034,3293006,629429,5109,675,797,10269,83,372
1600112,354037,2267,484,758,638,1775190,366461,1921,197,513,325,79,374
13018909,2558529,60544,5221,1419,369278,4035568,869723,14343,1437,1093,129178,220,374
3047879,988714,17943,2373,0,1500161,2571507,722757,6983,789,26,677492,111,374
8753174,1964087,42380,4942,3673,51176,6202387,1723810,18510,2284,1857,17316,128,375
3822583,488155,10046,1687,1621,5791,2876696,441425,3584,580,932,2475,109,375
2198136,523005,5017,821,961,6330,2179745,505056,2127,277,395,3157,99,377
3945912,1110407,18580,2660,0,412464,4083970,1179426,10574,1309,730,203005,98,381
4795077,824326,19102,2300,0,545647,3052878,520555,6959,736,497,163340,130,381
2954551,291320,8853,745,333,64644,2700557,259174,3582,514,751,24735,85,382
14760993,2621287,81140,8236,0,1425051,10596877,1694212,29149,2749,591,474465,131,382
2955693,873948,16606,2103,0,696248,3369047,874899,9666,1125,1653,337124,88,382
3539840,1809912,12261,2180,2807,20258,3025197,1356092,5785,948,1267,10149,111,384
1781960,207509,3415,864,451,4083,2608600,228965,2590,430,377,1761,90,385
1773665,238330,1876,224,389,282,2335232,323656,1130,211,160,223,80,386
4028672,471047,5472,1443,636,14640,3916003,390420,2077,463,590,4607,112,386
5760810,1050784,19946,2001,44,396175,3981611,557488,6717,732,1228,166645,131,386
1804142,265391,3923,816,1352,31666,2231286,344604,3093,542,1070,16963,76,386
10580681,2022161,60682,5608,363,924892,6229844,1109649,21312,1908,1479,226885,133,386
13551914,2205407,35912,3967,1486,157988,8600596,1415994,11930,1204,855,57279,151,389
5685626,1411451,29312,4069,0,1169341,4724784,1251837,13851,1553,138,450793,122,389
1579035,300328,4067,715,1443,930,1851927,320426,2183,372,602,597,87,390
1934368,670022,7056,1771,1821,4219,2487025,781274,5219,998,1222,1908,93,390
2552032,372510,8371,1999,896,228960,1959336,305398,3245,630,731,83827,115,391
5690835,1677207,30602,2801,0,1162041,5022551,1267898,12652,1285,295,515890,116,397
2067078,265740,5008,470,1037,6362,2533744,341091,3245,420,712,2941,67,397
1888726,438369,2326,587,1228,1952,2626294,454039,1103,339,694,1272,67,397
2751051,286714,6147,1307,2279,1107,2259696,272545,3362,366,745,563,121,398
1650377,215813,2302,876,476,3745,2242735,278311,1538,366,423,1490,73,399
4013359,531480,46692,3764,0,227497,3575065,379261,31024,2228,274,97353,89,399
1902830,446404,4981,474,539,6452,1587346,357057,3227,394,781,3128,110,400
4909653,1000634,21571,2132,0,392920,2821957,361472,7803,566,1652,137076,195,400
2697015,575331,12965,1543,0,453751,1959869,311503,4078,497,746,197012,116,400
2034496,729310,5791,1354,1442,2817,1905713,797518,3775,706,1020,1395,89,400
1908354,426023,9501,1299,0,349159,2020910,356713,5812,747,689,152635,89,401
1781713,119876,2300,409,633,1076,2750042,161839,1729,177,423,866,82,401
7600699,1434130,41310,3367,767,228387,6117660,859938,22989,1766,525,75394,145,402
15436781,2690733,63963,6612,0,3315535,5888345,875720,14220,1584,755,669716,231,402
9213325,1776503,42291,4756,0,1770336,5414542,1188586,14536,1657,155,533150,129,402
1908372,246779,27661,2010,0,329814,2508767,318887,23024,1811,469,177288,67,402
1762457,155952,5630,385,513,9018,2308814,192592,3772,372,317,5097,71,402
7093174,1596864,27623,2947,0,724421,5785715,1533397,13810,1594,636,286108,96,403
5919902,1249207,27747,2644,0,577450,5396299,1296794,16930,1803,916,242522,89,403
3087790,450463,8995,1220,0,235517,2648897,406105,4255,597,611,86878,97,403
2086372,246120,2055,517,1240,3553,3334213,337006,1503,369,555,1977,68,404
1688842,417163,6957,1019,1740,29502,1449820,381392,3684,420,555,11664,96,405
6830549,1187726,33260,3353,0,1355782,3165890,532672,7757,649,1174,317292,176,405
1664785,281845,5369,638,979,13318,1904404,347420,3365,388,629,5733,78,406
1739033,512573,12786,1617,482,80159,1658796,487311,7583,671,416,42321,86,406
1712655,239464,3048,1082,508,4512,1739575,284361,1627,504,457,2191,87,408
4644844,1067789,22347,2432,0,916134,2913489,643215,8200,973,1495,327232,118,408
2350959,403229,5313,535,1275,5924,1653524,352978,3528,293,431,2985,110,408
6878054,1573651,38686,4452,0,803578,3712511,964101,14638,1584,523,230477,157,408
3977990,541332,6182,739,1255,2892,2642595,382579,1842,251,910,1006,122,409
11447352,3127104,134954,11841,0,809066,4039600,1199826,65601,4838,881,166452,224,409
10091511,2068567,46874,5142,0,663822,5831030,1154629,15105,1537,1635,212464,144,409
2870370,747690,12054,1598,1145,75223,2551803,438138,5775,645,466,26279,120,409
2054731,199298,1640,632,141,996,3318836,273567,1272,252,451,331,73,409
3158286,390873,6628,1144,1409,11447,2398871,357876,3912,505,800,4954,97,409
3604888,781445,9821,1468,1003,48116,2675678,499198,4373,518,596,18765,108,409
6562482,1444100,8804,1794,837,4961,3734554,788969,3315,530,382,2120,129,411
2644856,356277,9961,883,1212,18558,2101501,291138,4423,540,731,8296,99,411
2313520,320672,5345,674,335,58109,2374922,361535,3502,364,324,25235,84,412
1956922,220579,2441,699,840,684,2399285,288429,1755,339,441,672,74,413
8277398,2067503,31206,3937,599,321487,5364456,1856587,12710,1618,1152,132413,115,416
1544620,387005,5938,693,479,497,2023163,479598,5163,522,332,357,73,416
3979932,441612,9244,1330,1295,201770,3129663,321794,3533,565,958,107572,111,416
1773215,194804,1350,184,739,678,2245655,147571,640,175,462,691,96,416
7337778,1630263,10134,2299,2084,5931,6023625,1583979,4687,843,901,2500,102,417
4077166,693542,22026,1707,0,559685,2813841,419528,7342,715,582,200317,120,417
4719177,820557,19210,2109,1428,200400,3389760,720085,8646,997,1136,71487,108,417
4210167,974758,25414,1901,0,287882,4671082,987987,12470,1169,364,117092,81,419
4985459,1361876,34979,3010,0,301448,5109582,1173220,14155,1365,782,119595,93,419
1610853,286641,4120,293,699,1170,1745957,317046,2439,234,378,837,73,420
5786751,734836,16407,2152,0,819601,3922776,562439,6301,817,711,253213,152,422
12762306,1626882,45014,4279,0,3166645,3957516,567828,9110,1000,158,760889,252,422
8356748,1186818,21574,1473,0,1041767,4229901,541532,4972,454,1111,405528,173,422
2889918,334281,11346,1217,0,306213,3385793,385901,7075,637,321,138540,79,422
5200426,575040,11955,1311,0,479492,3890285,358438,4008,498,480,205700,123,422
2229870,296416,7752,1153,0,870544,2553522,364930,5753,611,796,435923,76,427
6454498,1134150,19671,2335,0,406225,4130970,710668,6573,645,975,141895,154,427
3059749,667626,12992,1595,0,452216,3199570,502377,4308,561,754,324414,112,428
4220295,1035704,19519,1629,393,46772,3216166,548036,6076,548,456,17469,136,429
2239542,414332,7997,1008,901,4840,2854694,516123,5875,665,607,2556,68,432
5330036,666360,11729,1678,2143,38277,4649906,675635,6866,820,1456,14435,95,435
5460326,1183159,19572,1410,2187,55590,3879029,1135158,7733,651,853,26051,117,436
1643489,225368,2242,768,1065,4702,2248781,273375,1610,388,919,2841,65,437
9819958,2106868,48613,4398,201,337946,5914472,1380896,16899,1404,912,92214,150,437
1654346,205458,1414,227,289,1344,2094969,279339,814,237,422,823,80,437
6140646,728606,29972,2353,0,1013762,4225939,467328,9360,805,573,363880,108,437
3357747,1424743,60081,3966,0,1300502,4405818,1175808,21185,1410,0,433575,82,437
12688995,3104125,74648,8538,0,2722453,4358709,1408998,21522,2132,632,723395,186,437
2041065,250886,4000,887,815,1679,2507128,335986,2823,360,358,1220,69,439
3352161,663169,17351,1389,2262,36705,3423315,612103,10344,810,1240,17060,121,439
1571459,278499,6161,773,370,33276,2104330,380127,4489,454,184,21042,54,440
8746306,1457254,46921,4476,0,391459,6386682,1122412,20305,1984,1172,104322,157,440
9667656,2790845,62293,5933,0,596270,3795478,1188106,21636,1971,428,143128,219,440
1982109,281051,4661,739,0,35810,2975686,366514,3144,360,144,18843,66,441
2106209,243358,3179,720,77,111839,2595680,283227,2433,479,749,51063,86,441
6757679,1639577,55609,5912,3774,316413,3454604,626679,14416,1178,1811,93724,216,441
3735450,426234,8801,895,0,174153,3534031,495884,5233,613,1198,79583,83,441
2199336,159961,5122,767,921,21356,2924440,201770,3753,560,453,11740,88,442
3132702,451080,4566,861,1359,3001,3267486,482230,2927,649,800,1867,90,443
